Source_File,Date,Category,Item_No,Item_Description,Unit,City,Metric,Value
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Gujranwala,MAX,433.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Sialkot,MIN,433.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Sialkot,AVG,433.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Sialkot,MAX,433.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Lahore,MIN,408.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Lahore,AVG,408.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Lahore,MAX,408.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Faisalabad,MIN,450.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Faisalabad,AVG,450.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Faisalabad,MAX,450.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Sargodha,MIN,435.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Sargodha,AVG,436.66
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,7,Chicken Farm Broiler (Live),1 Kg,Sargodha,MAX,440.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Islamabad,MIN,220.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Islamabad,AVG,238.23
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Islamabad,MAX,250.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Rawalpindi,MIN,200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Rawalpindi,AVG,219.64
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Rawalpindi,MAX,240.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,8,Milk fresh (Un-boiled),1 Ltr,Gujranwala,MIN,200.0
