source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,692,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,292,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,420,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,630,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,4,2-Oct,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,70,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,20,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,12,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,60,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,10,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,276,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,60,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,168,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,402,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,1052,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,604,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,720,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,255,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,5,2-Nov,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,108,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,44,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,168,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,12,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,217,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,601,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,953,MT
